Unnamed: 0,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,Unnamed: 13,Unnamed: 14
1335,576784.0,ru,Конёк-горбунок,0.9598020051705656,2021-02-18,6.2,16,"['Adventure', 'Fantasy']","Romantic John the Fool and his friend Foal set out on a series of unpredictable adventures in different magical worlds. The two buddies will have to outsmart an evil tyrant king, catch the firebird, and find John’s true love.",0.0,100,,,
1372,275619.0,en,Age of Tomorrow,0.8268806356012359,2014-06-10,3.0,50,"['Thriller', 'Science Fiction', 'Action']","Mankind must fight to survive as Earth is invaded by hostile UFOs bent on destroying the planet. As the epic battle wages on, astronauts sneak aboard the mothership where they discover a portal to the aliens' home world. They manage to alert Earth before they are brutally murdered. Left with no other choice, Earth sends an elite military team of science and combat specialists through the portal where they attempt to stop the invasion from the inside out.",0.0,90,Extinction Has Arrived,,
1379,93837.0,en,So Undercover,0.975628980389684,2012-12-06,6.1,978,"['Action', 'Comedy']","When the FBI hires her to go undercover at a college sorority, Molly Morris (Miley Cyrus) must transform herself from a tough, streetwise private investigator to a refined, sophisticated university girl to help protect the daughter of a one-time Mobster. With several suspects on her list, Molly unexpectedly discovers that not everyone is who they appear to be, including herself.",0.0,94,Meet the FBI's new secret weapon,,
1484,726208.0,es,Voces,0.9393719654454882,2020-07-24,6.6,521,"['Drama', 'Horror', 'Thriller']","After the strange death of his young son at their new home, Daniel hears a ghostly plea for help, spurring him to seek out a renowned paranormal expert.",0.009409990749325827,98,,,
1494,769.0,en,GoodFellas,0.981493158458919,1990-09-12,8.5,9475,"['Drama', 'Crime']","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",0.9938188435988868,145,Three Decades of Life in the Mafia.,,
1495,119892.0,zh,西遊記之大鬧天宮,0.9941673497698467,2014-01-09,5.6,152,"['Action', 'Adventure', 'Family']","Sun Wukong is a monkey born from a heavenly stone who acquires supernatural powers. After rebelling against heaven and being imprisoned under a mountain for 500 years, he later accompanies the monk Xuanzang on a journey to India. Thus, according to legend, Buddhism is brought to ancient China.",0.0,119,Havoc in Heaven,,
1504,133121.0,en,Biohazard: Damnation,0.8823065767072324,2012-09-25,6.8,592,"['Animation', 'Horror', 'Action']","U.S. federal agent Leon S. Kennedy sneaks into the ""East Slavic Republic"" to verify rumors that Bio-Organic Weapons (BOWs) are being used in the country's civil war, which the U.S. and Russia are making preparations to jointly intervene in. Right after his infiltration, the U.S. government orders him to leave immediately. Determined to uncover the truth, Leon ignores the order and enters the battlefield to end the chain of tragedies caused by the BOWs.",0.0,100,"When Terror Crawls, Evil is Unleashed",,
1519,166666.0,de,3096 Tage,0.7944069613468692,2013-02-21,7.5,608,['Drama'],A young Austrian girl is kidnapped and held in captivity for eight years. Based on the real-life case of Natascha Kampusch.,0.14169316726468736,111,The story of Natasha Kampusch,,
1538,444308.0,en,Cashback,0.9854656661832397,2004-08-01,7.0,79,"['Drama', 'Comedy']","Ben is an art college student in London, whose imagination runs wild as he works the late-night shift at the local supermarket. What do he and his colleagues do to pass the long, endless hours of the night?",0.0,18,You give 8 hours... They give you money.,,
1571,181283.0,en,Child 44,0.9292515291001955,2015-03-15,6.3,1301,"['Crime', 'Thriller']","Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",0.07054087320040754,137,How do you find a killer who doesn’t exist?,,
1576,774810.0,en,A Trash Truck Christmas,0.975944258780503,2020-12-11,6.6,47,"['Animation', 'Adventure', 'Family']","When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",0.0,28,,,
1586,9725.0,en,Friday the 13th Part 2,0.9512264329402862,1981-05-01,6.1,1131,"['Horror', 'Thriller']","Five years after the horrible bloodbath at Camp Crystal Lake, it seems Jason Voorhees and his demented mother are in the past. Paul opens up a new camp close to the infamous site, ignoring warnings to stay away, and a sexually-charged group of counselors follow -- including child psychologist major Ginny. But Jason has been hiding out all this time, and now he's ready for revenge.",0.4609480970231163,87,The body count continues...,,
1592,627290.0,en,Antebellum,0.9202976228009332,2020-09-02,6.4,614,['Horror'],Successful author Veronica finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,0.14540419525871914,105,"If it chooses you, nothing can save you.",,
